Navn;Organisation;Type;Sprog;Filtype;Periode (Start);Periode (Slut);Tags;Emne;url;Licens;Dokumentation
Bilingual English-Danish parallel corpus from The Danish Medicines Agency;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:ELRC:engelsk-dansk:korpora:oversættelse:sundhed;NA;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-the-danish-medicines-agency-website/cd88fc90cd5f11e8b7d400155d02670688ec0a248988434ebd5da3694de0ac8e/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
Bilingual English-Danish parallel corpus from Denmark National Space Institute website;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:ELRC:engelsk-dansk:korpora:oversættelse:rumforskning:science:videnskab:kultur;Sprog og retskrivning:Uddannelse, kultur og sport:Videnskab og teknologi;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-denmark-national-space-institute-website/5fde41d0d13a11e8b7d400155d0267061182ebe8154c4bc3bf637048633dd67b/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
DK-CLARIN Rapid Aligned Corpus 1993-2011 (da-en,da-de);Center for Sprogteknologi;Korpora;NA;txt, tmx;1993;2011;EU:press releases from the european commission:tekst:politics;Sprog og retskrivning:Uddannelse, kultur og sport;http://hdl.handle.net/20.500.12115/30;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://info.clarin.dk/
DUDS Jens Bille's Ballad Book, v. 1.1;Københavns Universitet;Korpora;NA;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/41;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://duds.nordisk.ku.dk/
Johannes V Jensen Korpus;Aarhus Universitet;Korpora;dan;html, pdf;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://johannesvjensen.dk/jensenonline/liste-over-vaerker/;https://creativecommons.org/licenses/by-sa/4.0/;https://repository.clarin.dk/repository/xmlui/bitstream/handle/20.500.12115/20/text-header.pdf
Grundtvigs værker;Aarhus Universitet;Korpora;NA;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;http://hdl.handle.net/20.500.12115/31;https://creativecommons.org/licenses/by-nc/4.0/;http://www.grundtvigsværker.dk/
The DK-CLARIN JRC-Acquis Parallel Corpus (da, en);Center for Sprogteknologi;Korpora;eng;xml;1958;2003;EU:paralleltekst:legal;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/29?show=full;https://creativecommons.org/licenses/by/4.0/;https://info.clarin.dk/
DK-CLARIN Parallel Financial Corpus (da-en);Center for Sprogteknologi;Korpora;NA;xml;2000;2010;tekst:economics;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/18;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://info.clarin.dk/
DK-CLARIN LSP Corpus;Center for Sprogteknologi;Korpora;eng;xml;2000;2010;tekst:byggeri:it:jordbrug:nanoteknologi:sundhed:økonomi;Sprog og retskrivning:Uddannelse, kultur og sport;https://cst.ku.dk/english/resurser/fagsprogligt-korpus/;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://info.clarin.dk/
NOMCO corpus;Center for Sprogteknologi;Korpora;NA;xml;NA;NA;førstegangsmøder:gestusannotation:multimodal communication:tale:tekst:video;NA;https://cst.ku.dk/projekter/the-danish-nomco-corpus/;https://creativecommons.org/licenses/by-nc/3.0/;http://sskkii.gu.se/nomco/
